ticker,name,sector,sector_id,detail_url
CHI,Consolidated Hallmark Holdings PLC,Insurance,19,/compDetail.php?s=CHI&p=qs
CHL,Capital Hotel PLC,Hotels and Tourism,17,/compDetail.php?s=CHL&p=qs
CHM,Chams Holding Company Plc,Telecommunication,31,/compDetail.php?s=CHM&p=qs
CNR,Cornerstone Insurance Co PLC,Insurance,19,/compDetail.php?s=CNR&p=qs
COL,CAVERTON OFFSHORE SUPPORT GRP PLC,Conglomerates,11,/compDetail.php?s=COL&p=qs
CON,Conoil Nigeria PLC,Petroleum (Marketing),26,/compDetail.php?s=CON&p=qs
COS,Costain (WA) PLC,Construction,12,/compDetail.php?s=COS&p=qs
COU,Courtville Investments Plc,Commercial Services,9,/compDetail.php?s=COU&p=qs
CRL,Continental Reinsurance PLC,Insurance,19,/compDetail.php?s=CRL&p=qs
CRU,Crusader Insurance PLC,Insurance,19,/compDetail.php?s=CRU&p=qs
CUS,Custodian Investment Plc,Insurance,19,/compDetail.php?s=CUS&p=qs
CUT,Cutix PLC,Engineering Technology,13,/compDetail.php?s=CUT&p=qs
CVX,MRS Oil Nigeria PLC,Petroleum (Marketing),26,/compDetail.php?s=CVX&p=qs
CWG,CWG PLC,Computer and Office Equipment,10,/compDetail.php?s=CWG&p=qs
CXL,ChriestLieb PLC,Healthcare,16,/compDetail.php?s=CXL&p=qs
DCE,Dangote Cement,Building Materials,7,/compDetail.php?s=DCE&p=qs
DCM,Daar Communications PLC,Media,34,/compDetail.php?s=DCM&p=qs
DEA,DEAP Capital Management PLC,Other Financial Institutions,24,/compDetail.php?s=DEA&p=qs
DFM,Dangote Flour Mills Plc,Food Beverages and Tobacco,14,/compDetail.php?s=DFM&p=qs
DIA,Diamond Bank PLC,Banking,5,/compDetail.php?s=DIA&p=qs
DNM,Meyer PLC,Chemical and Paints,8,/compDetail.php?s=DNM&p=qs
DSR,Dangote Sugar Refinery PLC,Food Beverages and Tobacco,14,/compDetail.php?s=DSR&p=qs
DUN,DN TYRE & RUBBER PLC,Automobile and Tyre,3,/compDetail.php?s=DUN&p=qs
ECO,Eco Bank Nigeria PLC,Banking,5,/compDetail.php?s=ECO&p=qs
ECO.f,ECO.f,Banking,5,/compDetail.php?s=ECO.f&p=qs
EKO,Ekocorp PLC,Healthcare,16,/compDetail.php?s=EKO&p=qs
ELL,Ellah Lakes PLC,Agriculture/Agro Allied,1,/compDetail.php?s=ELL&p=qs
ENX,Enpee Industries PLC,Textiles,30,/compDetail.php?s=ENX&p=qs
EPC,EPIC Dynamics PLC,Industrial Domestic Products,18,/compDetail.php?s=EPC&p=qs
EQU,Equity Assurance PLC,Insurance,19,/compDetail.php?s=EQU&p=qs
ESI,EUNISELL INTERLINKED PLC,Engineering Technology,13,/compDetail.php?s=ESI&p=qs
ETI,E-Tranzact International PLC,Telecommunication,31,/compDetail.php?s=ETI&p=qs
ETR,Eterna Oil Nigeria PLC,Petroleum (Marketing),26,/compDetail.php?s=ETR&p=qs
EVM,Evans Medical PLC,Healthcare,16,/compDetail.php?s=EVM&p=qs
FAN,First Aluminium Nigeria PLC,Industrial Domestic Products,18,/compDetail.php?s=FAN&p=qs
FBN,Fbn Holdings PLC,Banking,5,/compDetail.php?s=FBN&p=qs
FCM,First City Monument Bank PLC,Banking,5,/compDetail.php?s=FCM&p=qs
FER,Ferdinand Mills PLC,Food Beverages and Tobacco,14,/compDetail.php?s=FER&p=qs
FID,Fidelty Bank Nigeria PLC,Banking,5,/compDetail.php?s=FID&p=qs
FIH,Fidson Healthcare PLC,Healthcare,16,/compDetail.php?s=FIH&p=qs
FIN,First Inland Bank PLC,Banking,5,/compDetail.php?s=FIN&p=qs
FLR,Flour Mills Nig PLC,Food Beverages and Tobacco,14,/compDetail.php?s=FLR&p=qs
FMB,Fortis Microfinance Bank Plc,Other Financial Institutions,24,/compDetail.php?s=FMB&p=qs
FTN,FTN Cocoa Processors PLC,Agriculture/Agro Allied,1,/compDetail.php?s=FTN&p=qs
FWR,Footwear and Accessories PLC,Footwear,15,/compDetail.php?s=FWR&p=qs
GCL,G Cappa PLC,Construction,12,/compDetail.php?s=GCL&p=qs
GGL,Golden Guinea Breweries Plc,Breweries,6,/compDetail.php?s=GGL&p=qs
GIN,Guinea Insurance PLC,Insurance,19,/compDetail.php?s=GIN&p=qs
GLK,Goldlink Insurance PLC,Insurance,19,/compDetail.php?s=GLK&p=qs
GNI,Great Nigeria Insurance PLC,Insurance,19,/compDetail.php?s=GNI&p=qs
GNL,Greif Nigeria PLC,Packaging,25,/compDetail.php?s=GNL&p=qs
GRG,GEREGU POWER PLC,Engineering Technology,13,/compDetail.php?s=GRG&p=qs
GSE,Global Spectrum Energy Plc,Petroleum (Marketing),26,/compDetail.php?s=GSE&p=qs
GSK,Glaxo Smithkline Consumer PLC,Healthcare,16,/compDetail.php?s=GSK&p=qs
GTA,AXA-Mansard Insurance PLC,Insurance,19,/compDetail.php?s=GTA&p=qs
GTB,Guaranty Trust Bank PLC,Banking,5,/compDetail.php?s=GTB&p=qs
GUI,Guinness Nigeria PLC,Breweries,6,/compDetail.php?s=GUI&p=qs
HAL,Haldane McCall Plc,Real Estate,28,/compDetail.php?s=HAL&p=qs
HMP,Hallmark Paper Product PLC,Computer and Office Equipment,10,/compDetail.php?s=HMP&p=qs
HON,Honeywell Flour Mill PLC,Conglomerates,11,/compDetail.php?s=HON&p=qs
IAA,Investment and Allied Ass. Co PLC,Insurance,19,/compDetail.php?s=IAA&p=qs
IBL,International Breweries PLC,Breweries,6,/compDetail.php?s=IBL&p=qs
ICB,Intercontinental Bank PLC,Banking,5,/compDetail.php?s=ICB&p=qs
IEI,International Energy Insurance PLC,Insurance,19,/compDetail.php?s=IEI&p=qs
IHL,Ikeja Hotels PLC,Hotels and Tourism,17,/compDetail.php?s=IHL&p=qs
IHS,IHS,Telecommunication,31,/compDetail.php?s=IHS&p=qs
INC,INCAR,Automobile and Tyre,3,/compDetail.php?s=INC&p=qs
INI,THE INITIATES PLC,Computer and Office Equipment,10,/compDetail.php?s=INI&p=qs
INT,Coronation Insurance PLC,Insurance,19,/compDetail.php?s=INT&p=qs
IPW,IPWA PLC,Chemical and Paints,8,/compDetail.php?s=IPW&p=qs
ITM,INFINITY TRUST MORTGAGE BANK PLC,Mortgage Companies,23,/compDetail.php?s=ITM&p=qs
JAB,Jaiz  Bank Plc,Banking,5,/compDetail.php?s=JAB&p=qs
JAO,Japaul Gold & Ventures PLC,Petroleum (Marketing),26,/compDetail.php?s=JAO&p=qs
JAP,Japaul Oil and Maritime Service PLC,Maritime,22,/compDetail.php?s=JAP&p=qs
JBL,Julius Berger PLC,Construction,12,/compDetail.php?s=JBL&p=qs
JHL,John Holt PLC,Conglomerates,11,/compDetail.php?s=JHL&p=qs
JIB,Jos Int. Breweries PLC,Breweries,6,/compDetail.php?s=JIB&p=qs
LAL,Linkage Assurance PLC,Insurance,19,/compDetail.php?s=LAL&p=qs
LAS,LASACO Assurance PLC,Insurance,19,/compDetail.php?s=LAS&p=qs
LAW,Law Union and Rock PLC,Insurance,19,/compDetail.php?s=LAW&p=qs
LEG,Legend Internet PLC,Telecommunication,31,/compDetail.php?s=LEG&p=qs
LEN,Lennards Nigeria PLC,Footwear,15,/compDetail.php?s=LEN&p=qs
LIV,Livestock Feeds PLC,Agriculture/Agro Allied,1,/compDetail.php?s=LIV&p=qs
LIZ,Liz Olofin and Company PLC,Industrial Domestic Products,18,/compDetail.php?s=LIZ&p=qs
LNL,Learn Africa PLC,Printing and Publishing,27,/compDetail.php?s=LNL&p=qs
LWP,Lafarge WAPCO PLC,Building Materials,7,/compDetail.php?s=LWP&p=qs
MAB,May and Baker Nigeria PLC,Healthcare,16,/compDetail.php?s=MAB&p=qs
MAU,Maureen Laboratories PLC,Healthcare,16,/compDetail.php?s=MAU&p=qs
MBA,Mutual Benefits Assurance PLC,Insurance,19,/compDetail.php?s=MBA&p=qs
MEC,MECURE INDUSTRIES PLC,Healthcare,16,/compDetail.php?s=MEC&p=qs
MIL,Morison Industries PLC,Healthcare,16,/compDetail.php?s=MIL&p=qs
MOB,11 Plc,Petroleum (Marketing),26,/compDetail.php?s=MOB&p=qs
MTE,MTECH Communications PLC,Telecommunication,31,/compDetail.php?s=MTE&p=qs
MTI,Mass Telecom Innovation,Telecommunication,31,/compDetail.php?s=MTI&p=qs
MTN,MTN Nigeria,Telecommunication,31,/compDetail.php?s=MTN&p=qs
